Time,AF Buffalo,AF Roast Garlic,AF Spinach and Feta,AF Spicy Jalapeno,TJ Apple,TJ Roast Garlic,TJ Sweet Italien,TJ Tomato
0.1,9.434556566,9.008399364,9.548144267,8.734596073,9.560885608,10.06999708,10.10198597,10.27060543
0.105,9.630556347,9.217411579,9.775590763,8.930595855,9.821947557,10.34163162,10.35708389,10.55823443
0.11,9.853394273,9.42940581,10.01360986,9.165361845,10.1011727,10.62763407,10.63278483,10.85860477
0.115,10.05210498,9.649803905,10.24078527,9.394434895,10.34569801,10.88978039,10.88517182,11.11478706
0.12,10.2467493,9.881587878,10.48259966,9.602633833,10.59700064,11.15490873,11.15192671,11.40566917
0.125,10.42323043,10.08978682,10.71058834,9.82113428,10.81197688,11.40160278,11.44226664,11.66456238
0.13,10.6195013,10.30449197,10.9393903,10.03068868,11.02153128,11.67676154,11.73016673,11.94188987
0.135,10.80194647,10.49994957,11.16954772,10.2218088,11.26686988,11.95625777,11.98960213,12.22111501
0.14,10.97978306,10.72332968,11.40295824,10.43082101,11.51383502,12.22355484,12.24822424,12.50386435
0.145,11.1844578,10.97924087,11.6426039,10.63847777,11.79631327,12.52148535,12.51199712,12.78552932
0.15,11.39184346,11.23732081,11.90258148,10.84884545,12.08909303,12.8251088,12.78308949,13.06177244
0.155,11.58892761,11.47317117,12.12569049,11.03427263,12.34337767,13.08210437,13.04442253,13.33964211
0.16,11.77110168,11.66564675,12.33741363,11.2020788,12.5765171,13.34208195,13.29192986,13.60693919
0.165,11.97469205,11.87249023,12.55998047,11.41027774,12.82673536,13.59121583,13.56085349,13.87260971
0.17,12.19752997,12.118371,12.7863426,11.62959146,13.09701445,13.87179643,13.82815056,14.1713535
0.175,12.41223513,12.33632927,13.01839766,11.84429662,13.38139034,14.15834106,14.10086948,14.45979578
0.18,12.61528331,12.55347425,13.25343474,12.05141119,13.63052423,14.41723428,14.37250403,14.73983419
0.185,12.80992763,12.73971471,13.48386325,12.2354829,13.87965811,14.67666967,14.63193943,15.02149916
0.19,13.01406018,12.9210755,13.7132074,12.43826,14.10818898,14.93990036,14.90926692,15.2972001
0.195,13.20924669,13.12493696,13.95773271,12.6404949,14.34593698,15.22508953,15.19282954,15.57019011
0.2,13.41392142,13.33991321,14.19358307,12.86577266,14.60564347,15.49997719,15.48723585,15.85998785
0.205,13.61588524,13.58443852,14.44244587,13.07939344,14.86697651,15.80983577,15.76429225,16.13623098
0.21,13.81134284,13.82977712,14.6899532,13.29464078,15.13481577,16.09556712,16.03728227,16.42169124
0.215,14.01276446,14.0753868,14.94423784,13.49687569,15.36768412,16.38563595,16.29942858,16.70904915
0.22,14.18843232,14.30906842,15.1836124,13.69287547,15.60245011,16.64778227,16.56753893,16.99640706
0.225,14.36789546,14.55874449,15.42380024,13.89104399,15.8513129,16.91589262,16.84025786,17.27373455
0.23,14.56253978,14.80489636,15.6702232,14.09571873,16.10153115,17.18129205,17.10782602,17.55051986
0.235,14.76992544,15.05484352,15.91285087,14.31069497,16.36394856,17.47542727,17.39220191,17.83625121
0.24,14.95182842,15.29340481,16.17581046,14.51618299,16.62229959,17.74624854,17.66410756,18.11900055
0.245,15.13644233,15.51407399,16.41626939,14.72492411,16.85435466,18.00378629,17.92489841,18.39687023
0.25,15.31156799,15.70031445,16.66567437,14.9347496,17.08559645,18.27054118,18.19599078,18.66118528
0.255,15.51109198,15.8973986,16.91643481,15.15379224,17.32144681,18.54461557,18.45190198,18.92739799
0.26,15.69380823,16.10207334,17.18210533,15.38286529,17.57762909,18.8062197,18.73844661,19.20282784
0.265,15.90634465,16.33006202,17.45617971,15.60814305,17.83923323,19.09628854,19.02959981,19.49913179
0.27,16.13026694,16.56889439,17.7335072,15.83802937,18.08674056,19.37903787,19.31966865,19.78811626
0.275,16.35690016,16.81450408,18.01002142,16.0643915,18.31933781,19.65934738,19.60052034,20.10177012
0.28,16.55398432,17.04059511,18.26783026,16.2809943,18.55464599,19.94209672,19.86375103,20.3940077
0.285,16.74700208,17.29406648,18.53756717,16.50301895,18.7885987,20.24544908,20.13430121,20.67323283
0.29,16.952219,17.55865263,18.81950323,16.7179952,19.02580452,20.52033674,20.40647795,20.95950637
0.295,17.16258668,17.82730516,19.08246282,16.92456758,19.3034031,20.83588825,20.68841401,21.21894177
0.3,17.3819004,18.07372813,19.35653721,17.15418281,19.57368219,21.10806499,20.98444687,21.4772928
0.305,17.60853362,18.32448856,19.59699614,17.3607552,19.80112869,21.38701904,21.26556966,21.75543356
0.31,17.82703407,18.55274834,19.8539917,17.57437599,20.05161804,21.66109342,21.5304269,22.03601416
0.315,18.04445015,18.76121837,20.06896795,17.77335778,20.30834251,21.93787873,21.77657877,22.32906501
0.32,18.26051077,18.98703831,20.29126369,17.98724966,20.5642537,22.20653126,22.03167669,22.6316041
0.325,18.48090886,19.21502699,20.51925237,18.20710557,20.83317733,22.49714228,22.31767913,22.92113074
0.33,18.7067288,19.4562992,20.74778323,18.43672081,21.11538449,22.78965095,22.60151284,23.23288697
0.335,18.93525967,19.70597527,20.990682,18.6641673,21.36587383,23.08487053,22.91055814,23.56714386
0.34,19.16162179,19.93477723,21.24306899,18.89540909,21.58979613,23.36409567,23.19493403,23.88838831
0.345,19.39747215,20.18364002,21.47159986,19.12366886,21.83052615,23.65551997,23.47605682,24.19553596
0.35,19.61651479,20.41949038,21.71341425,19.35924813,22.08047331,23.95019737,23.74443826,24.46689942
0.355,19.85887136,20.68001015,21.97528947,19.5875079,22.34858366,24.25734502,24.0307118,24.74504019
0.36,20.09472172,20.93293932,22.23038739,19.80980365,22.61940494,24.54822713,24.32240719,25.01016853
0.365,20.35009073,21.19074816,22.49388917,20.02559317,22.86067715,24.85808571,24.63009703,25.28939366
0.37,20.59082076,21.4488281,22.74980037,20.24653345,23.1146907,25.13975068,24.91121981,25.59762569
0.375,20.84429212,21.68278081,22.99757879,20.47777524,23.36030038,25.46099513,25.20318629,25.89799603
0.38,21.09179945,21.92866159,23.23668226,20.69193821,23.61648267,25.76001001,25.4761763,26.1867094
0.385,21.35150594,22.1696627,23.49828639,20.93158386,23.90112965,26.06553111,25.74564212,26.48436882
0.39,21.60524839,22.42042314,23.75989053,21.15713271,24.18035479,26.3501781,26.0338133,26.77525093
0.395,21.85519556,22.68609366,23.99059013,21.38674795,24.43735035,26.62560794,26.31900248,27.07209707
0.4,22.1021607,22.93414318,24.2437904,21.61826083,24.67618273,26.9110682,26.62154156,27.38114237
0.405,22.36810232,23.16646934,24.47611657,21.85953303,24.90227376,27.19029334,26.90971274,27.68801893
0.41,22.61994712,23.41722978,24.71549112,22.09999197,25.15764277,27.49201915,27.209812,28.005197
0.415,22.88128017,23.66799022,24.97953509,22.35481879,25.43171716,27.80052226,27.48063327,28.30285642
0.42,23.13312498,23.92335923,25.23517519,22.56274664,25.69386348,28.10387462,27.74386396,28.59672055
0.425,23.36816206,24.19689142,25.49921916,22.80103683,25.95790744,28.40424497,28.05562018,28.9285376
0.43,23.60699443,24.44250111,25.7640764,23.03878483,26.21354755,28.69729581,28.35653271,29.2164377
0.435,23.85395958,24.69895449,26.04384372,23.26460477,26.47677823,28.99658179,28.66124053,29.53686887
0.44,24.09089431,24.94131107,26.3252376,23.50696135,26.71669498,29.31647078,28.95293592,29.82395569
0.445,24.32891341,25.20969251,26.59389014,23.74199843,26.9929381,29.64042616,29.2340587,30.09233714
0.45,24.56232394,25.49298403,26.85739192,23.96212544,27.28544677,29.94865818,29.52683846,30.38647235
0.455,24.79139699,25.77519118,27.1279421,24.19987344,27.5505751,30.24957071,29.78491839,30.70310824
0.46,25.02019894,26.02459616,27.37490724,24.42921758,27.81841436,30.54262156,30.08203563,31.01161135
0.465,25.26662191,26.27400114,27.63407155,24.659375,28.05968657,30.82753963,30.38918328,31.34207295
0.47,25.53202133,26.52557486,27.86612662,24.90281595,28.3139712,31.12086158,30.71124101,31.66304631
0.475,25.79796295,26.76386505,28.12447764,25.15411858,28.59048542,31.44427477,31.00239421,31.95989245
0.48,26.0305602,27.00242633,28.39828093,25.38590255,28.86564417,31.75277788,31.29002322,32.27056431
0.485,26.27942299,27.25535551,28.68536775,25.62365055,29.14324276,32.05341932,31.58605608,32.57039247
0.49,26.50876713,27.51479091,28.94317659,25.86926024,29.39454538,32.35189201,31.85985937,32.87754012
0.495,26.737298,27.75145455,29.2199619,26.11432774,29.65479405,32.66093731,32.17161559,33.16896441
0.5,26.97477491,28.02200472,29.51165728,26.36102179,29.91639819,32.99736294,32.47903434,33.47665425
0.505,27.22987283,28.31993524,29.81961821,26.60798694,30.19616551,33.33595731,32.78997728,33.7588614
0.51,27.47439814,28.60349786,30.10372301,26.85603645,30.48162578,33.67861806,33.09739603,34.07576838
0.515,27.71946564,28.88353627,30.3918942,27.092429,30.75353142,33.99091647,33.37418133,34.40243468
0.52,27.9588402,29.16601452,30.65864909,27.32936373,30.99615909,34.29725084,33.65909941,34.72395023
0.525,28.21231157,29.43222722,30.92811491,27.56765392,31.26128742,34.58487985,33.9505237,35.04031502
0.53,28.48150629,29.70413286,31.18782139,27.80919722,31.52641576,34.88525019,34.2527917,35.35993292
0.535,28.73877295,29.96167062,31.47002855,28.05155379,31.79506829,35.19483767,34.56021044,35.66545402
0.54,29.00037708,30.21676853,31.72973503,28.31234465,32.08161293,35.49629238,34.86464717,35.96528218
0.545,29.24923987,30.48189687,31.99648992,28.57178005,32.34213269,35.79991583,35.1690839,36.28571336
0.55,29.493223,30.73184403,32.26514246,28.82362486,32.60373683,36.10516584,35.45400197,36.60316252
0.555,29.74100143,31.00130984,32.54897617,29.07736731,32.86832297,36.42017517,35.75464341,36.92630462
0.56,29.983358,31.26535381,32.83796063,29.31457313,33.14754811,36.73979307,36.05962232,37.23399446
0.565,30.24035357,31.53427744,33.13697551,29.55665862,33.44358098,37.06944139,36.37056527,37.53246716
0.57,30.49165619,31.82380409,33.4145741,29.82314242,33.71765536,37.40695139,36.69912922,37.83744607
0.575,30.72913311,32.11522838,33.69759453,30.06034824,33.99254302,37.73632861,36.99516208,38.13212347
0.58,30.97908027,32.40041755,33.98712118,30.31110868,34.25062296,38.04428954,37.29499024,38.46177179
0.585,31.22035247,32.6861489,34.24791203,30.55590509,34.51439583,38.35170829,37.57096227,38.788167
0.59,31.47924568,32.99031454,34.52632389,30.80449678,34.79172332,38.68379644,37.85208506,39.11808641
0.595,31.73190377,33.27279279,34.80148265,31.05634159,35.07528594,39.01127602,38.15923271,39.43418011
0.6,31.99106807,33.56286162,35.08070779,31.32418085,35.35315562,39.35366568,38.47369985,39.77223229
0.605,32.24697927,33.8513039,35.35315561,31.56355541,35.62912764,39.6548493,38.788167,40.11191103
0.61,32.52484895,34.11995644,35.6413268,31.83410559,35.87419514,39.96931644,39.10127868,40.44399918
0.615,32.79241711,34.37857855,35.9113348,32.09787847,36.12875088,40.29950694,39.39297407,40.77635842
0.62,33.06052746,34.64804437,36.18052952,32.34457252,36.4014698,40.62373342,39.68927803,41.08025296
0.625,33.30315513,34.89772044,36.47927331,32.60211027,36.68042385,40.96558089,39.99805223,41.3773702
0.63,33.5566265,35.16637297,36.76093828,32.87157608,36.97943873,41.29170501,40.3155014,41.68234911
0.635,33.82094156,35.43746534,37.06754374,33.1301982,37.26327244,41.60942527,40.63755913,42.00982869
0.64,34.0784793,35.73837787,37.36195006,33.39098906,37.53056951,41.95154383,40.94660443,42.33947701
0.645,34.33628815,36.01733191,37.64225956,33.66723218,37.79081818,42.27414375,41.24778805,42.66424567
0.65,34.57728926,36.32502175,37.93964789,33.92422775,38.06651912,42.60541862,41.55059822,43.00853297
0.655,34.82859188,36.62349445,38.22131286,34.17281945,38.37312458,42.93696459,41.84175142,43.33167507
0.66,35.09561786,36.9200695,38.51219497,34.426833,38.66292233,43.25414266,42.14022412,43.66376322
0.665,35.35830637,37.232639,38.80145053,34.68220201,38.94241856,43.57023636,42.45984202,43.98690533
0.67,35.63454949,37.53192497,39.0795913,34.94028194,39.1967032,43.8884988,42.78867706,44.33092154
0.675,35.90022001,37.80681263,39.37887727,35.19592204,39.45071674,44.2222135,43.0787459,44.66382297
0.68,36.17348112,38.07519407,39.6759945,35.45129105,39.72695987,44.56866955,43.37586313,44.98425415
0.685,36.43291651,38.34709972,39.96768989,35.72617871,40.00537173,44.91675215,43.67270927,45.29113071
0.69,36.68774334,38.60870385,40.25667435,35.98344537,40.31306156,45.24829811,43.97307962,45.60207365
0.695,36.95693806,38.87925403,40.55460486,36.25101353,40.60204603,45.60098928,44.29025769,45.91491424
0.7,37.22396404,39.17284707,40.86012596,36.54162455,40.88994612,45.92602903,44.61936382,46.25133987
0.705,37.50481573,39.45857842,41.1607674,36.79618028,41.14667059,46.26489449,44.95795819,46.59806701
0.71,37.77509482,39.78361817,41.4624932,37.07730307,41.41098565,46.59237407,45.27784718,46.93530591
0.715,38.04700047,40.08425961,41.76747212,37.36086568,41.69997012,46.94804725,45.58445265,47.25844801
0.72,38.30236948,40.3862565,42.06106515,37.62626511,41.98434601,47.27335809,45.90352836,47.58674087
0.725,38.57698605,40.70180802,42.354116,37.89030908,42.27333047,47.5965002,46.19901904,47.93129927
0.73,38.84265656,41.00000962,42.66045037,38.14459372,42.53656116,47.92940162,46.51945022,48.25579683
0.735,39.12594809,41.30498854,42.94835047,38.41677046,42.81036445,48.24034457,46.84015249,48.59330683
0.74,39.39568499,41.61430493,43.25820904,38.69653778,43.10233093,48.57351709,47.15651729,48.92919027
0.745,39.64508997,41.90166284,43.54665132,38.95732864,43.38914666,48.92349733,47.4471283,49.25206128
0.75,39.92783931,42.19254494,43.84159982,39.25010839,43.707138,49.26182061,47.75020957,49.57330574
0.755,40.19025672,42.47312555,44.13465067,39.49598917,44.00452633,49.61668052,48.04407369,49.90322515
0.76,40.47897009,42.76888732,44.43122572,39.76355734,44.28158273,49.93792497,48.35149244,50.22772271
0.765,40.75087574,43.04377498,44.74623505,40.03898718,44.54291577,50.27679043,48.66324866,50.55303355
0.77,41.03579382,43.34794062,45.04064136,40.31983887,44.81455032,50.6083364,48.98801732,50.88539279
0.775,41.30444635,43.6255392,45.35375304,40.60204603,45.08510051,50.97539546,49.31766564,51.22317389
0.78,41.57770746,43.92916265,45.65059918,40.85741504,45.39007942,51.32429134,49.64080774,51.55336439
0.785,41.84771546,44.23224392,45.97645221,41.14802606,45.68258808,51.67779578,49.96449202,51.89602514
0.79,42.11528362,44.54616888,46.2963412,41.40827473,45.95503591,52.00988394,50.26432018,52.24302337
0.795,42.38854473,44.85738292,46.60023575,41.66906559,46.22260408,52.35417124,50.59830598,52.58703958
0.8,42.65475743,45.17347662,46.91144978,41.95371257,46.50914871,52.68165082,50.90572472,52.93891748
0.805,42.91771703,45.48387738,47.2129045,42.23076897,46.79406679,53.03163107,51.23754178,53.26992126
0.81,43.20182183,45.79238049,47.51950996,42.50484335,47.11314251,53.39028627,51.55417767,53.57950874
0.815,43.4905352,46.11823352,47.81689829,42.78162866,47.40998865,53.73267593,51.85265036,53.92325386
0.82,43.74942841,46.42023042,48.11211788,43.07223968,47.68785832,54.06232425,52.16196675,54.25154672
0.825,44.01943641,46.7298179,48.39622268,43.35797104,47.93102818,54.404985,52.4655902,54.59502075
0.83,44.32848171,47.02666404,48.69849067,43.63041886,48.21811499,54.75360978,52.799576,54.91409647
0.835,44.61448416,47.32079926,49.00590941,43.91886114,48.50709946,55.10196348,53.09316903,55.28034225
0.84,44.89398039,47.61005481,49.31983438,44.20513468,48.80638543,55.45302809,53.43420323,55.61188822
0.845,45.18160939,47.91232281,49.6527358,44.4886973,49.09591208,55.81954497,53.77008667,55.96105519
0.85,45.45893688,48.22651886,49.98455286,44.77551302,49.39302931,56.17250723,54.08672256,56.31483073
0.855,45.73084252,48.52743139,50.30064656,45.04796085,49.65788656,56.52574059,54.40335844,56.65071417
0.86,45.99407321,48.84759147,50.62297539,45.32908364,49.93846716,56.87138336,54.72894038,56.99744131
0.865,46.26896087,49.15663677,50.94069564,45.60776659,50.23287347,57.21838159,55.04693173,57.34796374
0.87,46.55523441,49.48845383,51.26736194,45.89214248,50.53188835,57.58408519,55.37983315,57.68222063
0.875,46.8398814,49.82162635,51.5956548,46.18166913,50.83822273,57.92539048,55.69755341,58.03274306
0.88,47.14214939,50.13799114,51.90226026,46.45140604,51.12639391,58.26425594,56.01527366,58.34504147
0.885,47.43465805,50.47875424,52.1958533,46.74852327,51.40209485,58.60772997,56.3264877,58.67631634
0.89,47.72526907,50.771534,52.51438683,47.01880236,51.67101848,58.96313206,56.62279166,59.0113865
0.895,48.01154261,51.07271762,52.83373364,47.31456413,51.94997252,59.30823265,56.93183695,59.33263096
0.9,48.30269581,51.37715435,53.15497809,47.60300641,52.23705934,59.6649902,57.2639251,59.67149642
0.905,48.59845759,51.67644032,53.49384355,47.89090651,52.54773119,60.02852507,57.58706721,60.01198843
0.91,48.89123734,51.98494344,53.81617238,48.19751198,52.84755935,60.38853573,57.92891468,60.35573355
0.915,49.16043206,52.29561529,54.12955515,48.48676753,53.1335618,60.74393782,58.2477193,60.71222002
0.92,49.43857283,52.60113639,54.46787843,48.77846292,53.39733467,61.0928337,58.56272864,61.06979085
0.925,49.72077999,52.91262152,54.78722524,49.06582082,53.69716283,61.46992318,58.87475595,61.42790386
0.93,49.99946294,53.23467925,55.0973549,49.36592008,53.99726208,61.82532528,59.20250662,61.76649823
0.935,50.28926068,53.56758068,55.42212356,49.65463345,54.32311511,62.17042586,59.53486587,62.12027377
0.94,50.57363657,53.90942815,55.74770549,49.93548514,54.61318394,62.5239303,59.8604478,62.46889856
0.945,50.85204843,54.23555227,56.06867886,50.23639767,54.89457781,62.86686215,60.19226486,62.81047494
0.95,51.15025004,54.55164597,56.38612802,50.51833373,55.18030917,63.2133182,60.50808746,63.14798494
0.955,51.45604223,54.88020992,56.71333651,50.8140955,55.46658271,63.564925,60.80384924,63.49606754
0.96,51.74855089,55.19549034,57.05030432,51.1055198,55.75936247,63.92954423,61.13295537,63.8132456
0.965,52.04946342,55.51185513,57.37832608,51.40561905,56.05078676,64.29226582,61.43603664,64.14885796
0.97,52.35173141,55.84475656,57.7255954,51.69297696,56.33434938,64.66772875,61.76893807,64.49558509
0.975,52.65454159,56.16410337,58.05849683,51.99578713,56.6141167,65.0315347,62.09885748,64.85668013
0.98,52.95572521,56.48290799,58.39736229,52.29968168,56.9090652,65.39913595,62.41305353,65.19581668
0.985,53.23467925,56.78653145,58.72511297,52.58947942,57.19994731,65.75806225,62.72941832,65.55474297
0.99,53.53071212,57.10940246,59.05801439,52.8955427,57.49462471,66.13298299,63.03873471,65.90634977
0.995,53.82728716,57.44311716,59.40148842,53.19618413,57.79147085,66.48919836,63.38058219,66.25524565
1,54.10840995,57.78957321,59.7360164,53.48299986,58.10702237,66.8394497,63.7105016,66.59844859
1.005,54.38953273,58.11705278,60.06756237,53.779846,58.39410918,67.18590575,64.04936706,66.95439286
1.01,54.69207182,58.4540206,60.40697001,54.06178206,58.68553348,67.51989154,64.39013016,67.30437311
1.015,54.98512267,58.78448219,60.74068471,54.36405005,58.95798131,67.8728538,64.71760974,67.64866042
1.02,55.27627587,59.09894934,61.06870648,54.66604695,59.25862274,68.23476212,65.03234798,67.99647193
1.025,55.57230873,59.44269446,61.40377665,54.96587511,59.54218536,68.60426101,65.35006824,68.34103032
1.03,55.86915488,59.77613807,61.72800312,55.27220948,59.85556814,68.97674192,65.66805958,68.704023
1.035,56.18579076,60.10307547,62.06469984,55.56444706,60.15295646,69.35600015,65.99120168,69.06186493
1.04,56.48480564,60.43082614,62.40654731,55.87674546,60.44600731,69.70354056,66.33196479,69.40832097
1.045,56.80144153,60.74231127,62.75435882,56.19012824,60.7377027,70.08279878,66.63423278,69.76426525
1.05,57.10913136,61.0608448,63.08807352,56.49727589,61.03644649,70.46097263,66.95059757,70.0857808
1.055,57.4059775,61.39591496,63.44645763,56.81770707,61.33112389,70.82206767,67.26669127,70.44931566
1.06,57.70472129,61.73342496,63.77339503,57.10614935,61.62309037,71.18533144,67.58603808,70.78275928
1.065,58.0099713,62.07635681,64.11226048,57.40435095,61.92454508,71.54940849,67.91026455,71.1406012
1.07,58.31223929,62.42633705,64.47660863,57.700926,62.21732484,71.91375663,68.23313556,71.48407523
1.075,58.61179636,62.76194941,64.81737174,58.0099713,62.49817653,72.26753217,68.57335648,71.84273043
1.08,58.91948619,63.10000159,65.18036441,58.32525172,62.79204066,72.64380838,68.90923992,72.20572311
1.085,59.21714561,63.43724049,65.53766415,58.6421587,63.09647739,73.01086744,69.2331953,72.56383613
1.09,59.52510654,63.78261217,65.88303583,58.95662584,63.38952823,73.38117961,69.55335539,72.94336544
1.095,59.84147133,64.12012217,66.22325675,59.25699619,63.67905488,73.73278641,69.87676858,73.29714098
1.1,60.14346823,64.46793367,66.57242372,59.57851174,63.95665347,74.09849002,70.21292312,73.6303135
1.105,60.45088697,64.78700939,66.91427119,59.88349065,64.25593944,74.46717564,70.52522153,73.95616653
1.11,60.76833614,65.12126628,67.2799748,60.20798821,64.55034575,74.82664412,70.85758077,74.28988123
1.115,61.08415874,65.45579426,67.62751521,60.51567805,64.83743257,75.20075158,71.18099396,74.62657795
1.12,61.3804627,65.7811051,67.95553698,60.82797646,65.15135753,75.56537082,71.50061186,74.96652778
1.125,61.70631573,66.12132602,68.3063305,61.13593739,65.45470989,75.9248393,71.80992825,75.32220096
1.13,62.01644539,66.48621635,68.65739512,61.44471159,65.72227805,76.30491079,72.14038985,75.68221163
1.135,62.31735792,66.8215576,69.01550813,61.74562412,66.01370235,76.65678869,72.46515851,76.06390968
1.14,62.63345162,67.16503163,69.36033762,62.06768185,66.29997589,77.0222212,72.80104195,76.42717345
1.145,62.93951491,67.49603542,69.72766779,62.36615455,66.61281648,77.40337707,73.13909413,76.79260596
1.15,63.26916322,67.85821482,70.06056921,62.70691765,66.91318682,77.78046655,73.45166363,77.16183377
1.155,63.56953357,68.22283405,70.41515803,63.01027001,67.21111734,78.14264595,73.7761612,77.52916393
1.16,63.87586794,68.57064556,70.76242735,63.33720741,67.50091508,78.5069941,74.09442363,77.88619257
1.165,64.19060618,68.91764379,71.12867314,63.65031909,67.77173635,78.86429383,74.42624069,78.23779937
1.17,64.50913971,69.26925059,71.5133532,63.96126204,68.06370283,79.22294904,74.72552667,78.56636332
1.175,64.80625695,69.59998328,71.85655614,64.28331977,68.35431385,79.59651432,75.07279599,78.9082108
1.18,65.13156779,69.94860806,72.22090428,64.60754624,68.65739512,79.96709758,75.39051624,79.25114264
1.185,65.45145678,70.29316646,72.58498133,64.92906179,68.96237403,80.32575279,75.70823649,79.60166507
1.19,65.78002073,70.65019511,72.93306393,65.255457,69.24431009,80.69389622,76.03408952,79.9521875
1.195,66.09665662,70.99177149,73.29876754,65.58591859,69.51486027,81.0604131,76.34232154,80.30243884
1.2,66.41735889,71.33036586,73.65200089,65.90933179,69.79733852,81.43723149,76.67251205,80.65594329
1.205,66.74782048,71.68495467,74.03071693,66.22352784,70.10394399,81.82435139,76.99972053,81.00592354
1.21,67.06581183,72.03710366,74.38449247,66.56130893,70.40241669,82.19629012,77.32882667,81.38491066
1.215,67.38488754,72.39359012,74.74775624,66.88634868,70.70875106,82.59018733,77.66525229,81.75495175
1.22,67.71833116,72.75441406,75.09746539,67.21301498,70.98472309,82.94342069,77.96996012,82.11686006
1.225,68.03388267,73.11849111,75.46208463,67.54049456,71.28319578,83.29990715,78.28334289,82.48337694
1.23,68.34590999,73.47335102,75.83646319,67.85469062,71.55998109,83.65422487,78.59672567,82.84121886
1.235,68.66769663,73.83119295,76.20352225,68.17945927,71.85520068,84.02779016,78.92447634,83.19607877
1.24,68.98243486,74.18225756,76.57735862,68.50287247,72.1566554,84.39945779,79.24382315,83.56042691
1.245,69.31018554,74.55473847,76.95634575,68.83224969,72.45892338,84.76055283,79.57076054,83.89251506
1.25,69.63549638,74.91176712,77.31445877,69.14617465,72.73950398,85.14713054,79.90474634,84.22406103
1.255,69.96351814,75.26635594,77.70212086,69.47717843,73.02144004,85.5071412,80.23683449,84.56563741
1.26,70.291811,75.59519098,78.06050496,69.81007986,73.29171913,85.86877842,80.55591021,84.9175153
1.265,70.60926016,75.93351425,78.43081714,70.14569221,73.58205906,86.25454286,80.87634138,85.2623448
1.27,70.94053503,76.28457887,78.79570747,70.46314137,73.89273091,86.62810814,81.20192332,85.62940386
1.275,71.27994268,76.65245121,79.17008603,70.80092246,74.1809021,87.01007729,81.54187315,86.00052931
1.28,71.60688007,77.03008288,79.53931383,71.13572154,74.45714522,87.38472694,81.86094886,86.35674468
1.285,71.94547444,77.39334665,79.9275181,71.45940582,74.73447271,87.76127424,82.18490424,86.72841232
1.29,72.26400797,77.75308622,80.28752877,71.79312053,75.02399936,88.13673716,82.48771441,87.09059172
1.295,72.56275176,78.11336798,80.65675657,72.12547977,75.3032245,88.50704934,82.82468223,87.4430118
1.3,72.89375554,78.48015595,81.03086403,72.46624288,75.60766123,88.87437949,83.14348685,87.80302246
1.305,73.2182531,78.83447368,81.41635738,72.7920959,75.88959729,89.22707066,83.45307433,88.16845497
1.31,73.56145604,79.20370148,81.79534451,73.13529884,76.17044898,89.59358755,83.79709055,88.51870631
1.315,73.89761058,79.55069971,82.17514492,73.4776885,76.45238504,89.95658023,84.09881636,88.87898807
1.32,74.23620494,79.90067996,82.56362028,73.80489699,76.74136951,90.32824785,84.43225996,89.21649807
1.325,74.57344385,80.26529919,82.94260741,74.1451179,77.02195011,90.70642171,84.74157636,89.56268301
1.33,74.91122494,80.62612313,83.3121063,74.48479664,77.31364549,91.0867643,85.06010989,89.90371721
